Név,RaktárID,Mennyiség,Leírás,Kategória
HDMI Kábel 3m,21,145,4K támogatással,Kábelek és csatlakozók
Vezeték nélküli Egér,22,82,Ergonomikus kialakítás,Számítógép kiegészítők
SSD Meghajtó 500GB,23,15,Nagy sebességű tároló,Adattárolók
Gamer Fejhallgató,24,37,Zajszűrős mikrofonnal,Audio eszközök
USB-C Töltőkábel 1m,25,200,Gyorstöltés támogatás,Kábelek és csatlakozók
Mechanikus Billentyűzet,26,12,RGB világítással,Számítógép kiegészítők
Webkamera 1080p,27,19,Beépített mikrofonnal,Számítógép kiegészítők
Hálózati Elosztó 5-ös,28,44,Túlfeszültség védelemmel,Egyéb elektronika
Pendrive 64GB,29,150,USB 3.0 csatlakozó,Adattárolók
Monitor Állvány,30,11,Állítható magasság,Irodai kiegészítők
UTP Patch Kábel 5m,31,300,CAT6 szabvány,Kábelek és csatlakozók
Bluetooth Hangszóró,21,56,Vízálló kivitel,Audio eszközök
Laptop Hűtőpad,22,48,Csendes ventilátorral,Számítógép kiegészítők
Külső Merevlemez 1TB,23,14,Ütésálló házban,Adattárolók
Okos Konnektor,24,90,Wi-Fi vezérléssel,Okosotthon
DisplayPort Kábel 2m,25,65,Prémium minőség,Kábelek és csatlakozók
Egérpad XL,26,180,Csúszásmentes talp,Számítógép kiegészítők
Wi-Fi Router,27,20,Kétsávos gigabites,Hálózati eszközök
Irodai Szék,28,6,Deréktámasszal,Irodai kiegészítők
Micro SD Kártya 128GB,29,110,Adapterrel csomagolva,Adattárolók
USB Hub 4 Port,30,42,USB 3.0 sebesség,Számítógép kiegészítők
VGA Kábel 1.8m,31,33,Hagyományos monitorokhoz,Kábelek és csatlakozók
Szünetmentes Tápegység,21,5,Otthoni irodai használatra,Egyéb elektronika
Vezeték nélküli Billentyűzet,22,28,Kompakt méret,Számítógép kiegészítők
Okos Izzó E27,23,140,Szabályozható fényerő,Okosotthon
Soundbar Hangrendszer,24,12,Bluetooth kapcsolattal,Audio eszközök
Hordozható Projektor,25,2,Full HD felbontás,Egyéb elektronika
Jack-Jack Audio Kábel,26,95,Sztereó hangátvitel,Kábelek és csatlakozók
USB-C Dokkoló,27,11,HDMI és Ethernet porttal,Számítógép kiegészítők
Optikai Egér,28,250,Alap irodai használatra,Számítógép kiegészítők
SSD Meghajtó 1TB,29,20,SATA3 csatlakozás,Adattárolók
UTP Patch Kábel 10m,30,85,Szürke színben,Kábelek és csatlakozók
Switch 8 Port,31,15,Fém házas kivitel,Hálózati eszközök
Laptop Táska 15.6",21,44,Vízlepergető anyagból,Kiegészítők
Wi-Fi Jelismétlő,22,38,Könnyű beállítás,Hálózati eszközök
Külső SSD 500GB,23,26,Kompakt fém ház,Adattárolók
Mikrofon Állvány,24,12,Asztalhoz rögzíthető,Audio eszközök
USB Hosszabbító 2m,25,130,Adatátvitelhez és töltéshez,Kábelek és csatlakozók
Okos Kapucsengő,26,10,Kamerával és Wi-Fi-vel,Okosotthon
Bluetooth Adapter USB,27,75,PC és Laptophoz,Számítógép kiegészítők
Projektor Vászon,28,6,Falra szerelhető,Irodai kiegészítők
Hálózati Kábel (Táp),29,160,Standard PC tápkábel,Kábelek és csatlakozók
Earbuds Fülhallgató,30,58,Töltőtokkal,Audio eszközök
LED Szalag 5m,31,115,Szabályozható fényerő,Okosotthon
AA Elem 4db,21,190,Hosszú élettartam,Egyéb elektronika
AAA Elem 4db,22,180,Tartós kivitel,Egyéb elektronika
Sűrített Levegő Spray,23,140,Tisztításhoz,Kiegészítők
IP Kamera Beltéri,24,22,Éjjellátó funkcióval,Okosotthon
Laptop Hátizsák,25,34,Vízálló anyagból,Kiegészítők
Monitor Tisztító Spray,26,142,Antisztatikus hatás,Kiegészítők